gt,est,diff,img_fn,kp_fn,removed
"[-2.46541580e+03  5.81104369e+01  8.06608747e+01  1.22144195e-01
 -1.28231933e-01  0.00000000e+00]","[-3.10488211e+03 -8.47729866e+00  5.84931142e+01  1.09658057e-01
 -1.86143449e-01  2.85266292e-01]",643.3059096050521,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00014.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00014_kp.png,False
"[-2.46541580e+03  5.81104369e+01  8.06608747e+01  1.22144195e-01
 -1.28231933e-01  0.00000000e+00]","[-3.10488211e+03 -8.47729866e+00  5.84931142e+01  1.09658057e-01
 -1.86143449e-01  2.85266292e-01]",643.3059096050521,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00015.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00015_kp.png,False
"[-2.22849566e+03  3.84722060e+01  6.00473894e+01 -5.78279864e-02
 -9.01855192e-02  0.00000000e+00]","[-2.18700209e+03  2.89251904e+01  5.82929068e+01 -5.27649816e-02
 -8.93766940e-02  2.18810885e-02]",42.613849170957884,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00016.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00016_kp.png,False
"[-2.22849566e+03  3.84722060e+01  6.00473894e+01 -5.78279864e-02
 -9.01855192e-02  0.00000000e+00]","[-2.18700209e+03  2.89251904e+01  5.82929068e+01 -5.27649816e-02
 -8.93766940e-02  2.18810885e-02]",42.613849170957884,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00017.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00017_kp.png,False
"[-2.52668407e+03 -2.42704309e+01  9.27173125e+01  1.29661883e-02
 -1.07420935e-01  0.00000000e+00]","[-2.50900965e+03 -6.59291374e+00  6.06648057e+01  3.92425205e-03
 -1.31561908e-01 -2.70551870e-02]",40.647790264186,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00018.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00018_kp.png,False
"[-2.52668407e+03 -2.42704309e+01  9.27173125e+01  1.29661883e-02
 -1.07420935e-01  0.00000000e+00]","[-2.50900965e+03 -6.59291374e+00  6.06648057e+01  3.92425205e-03
 -1.31561908e-01 -2.70551870e-02]",40.647790264186,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00019.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00019_kp.png,False
"[-2.65606706e+03 -2.83765001e+01  8.69914877e+01  3.88914353e-02
 -1.23362169e-01  0.00000000e+00]","[-2.62096347e+03 -2.34899281e+00  4.09451642e+01  2.02330619e-02
 -1.55433434e-01  1.17341322e-03]",63.481942028698036,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00020.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00020_kp.png,False
"[-2.65606706e+03 -2.83765001e+01  8.69914877e+01  3.88914353e-02
 -1.23362169e-01  0.00000000e+00]","[-2.62096347e+03 -2.34899281e+00  4.09451642e+01  2.02330619e-02
 -1.55433434e-01  1.17341322e-03]",63.481942028698036,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00021.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00021_kp.png,False
"[-2.26292835e+03  1.82178576e+01  7.76199287e+01 -9.40245261e-02
 -7.90286741e-02  0.00000000e+00]","[-2.21297055e+03  8.18398615e+00  7.35136532e+01 -8.82270563e-02
 -7.77484859e-02  2.48789589e-02]",51.12065836713146,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00022.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00022_kp.png,False
"[-2.26292835e+03  1.82178576e+01  7.76199287e+01 -9.40245261e-02
 -7.90286741e-02  0.00000000e+00]","[-2.21297055e+03  8.18398615e+00  7.35136532e+01 -8.82270563e-02
 -7.77484859e-02  2.48789589e-02]",51.12065836713146,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00023.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00023_kp.png,False
"[-2.79793534e+03  6.97847247e+01  1.07545586e+02 -5.99439973e-02
  2.21460198e-03  0.00000000e+00]","[-2.80275554e+03  7.25786781e+01  1.10467124e+02 -6.20948901e-02
  3.82463431e-03  6.23797948e-03]",6.290933079959993,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00024.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00024_kp.png,False
"[-2.79793534e+03  6.97847247e+01  1.07545586e+02 -5.99439973e-02
  2.21460198e-03  0.00000000e+00]","[-2.80275554e+03  7.25786781e+01  1.10467124e+02 -6.20948901e-02
  3.82463431e-03  6.23797948e-03]",6.290933079959993,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00025.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00025_kp.png,False
"[-2.73541788e+03  1.69940586e+01  1.09806702e+02 -2.83780459e-02
 -1.03249677e-01  0.00000000e+00]","[-2.71568109e+03  5.57822717e+00  9.28022344e+01 -2.42200357e-02
 -1.13421145e-01  2.05843014e-02]",28.443168027998844,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00026.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00026_kp.png,False
"[-2.73541788e+03  1.69940586e+01  1.09806702e+02 -2.83780459e-02
 -1.03249677e-01  0.00000000e+00]","[-2.71568109e+03  5.57822717e+00  9.28022344e+01 -2.42200357e-02
 -1.13421145e-01  2.05843014e-02]",28.443168027998844,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00027.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00027_kp.png,False
"[-2.82245854e+03 -7.99573760e+01  1.06633981e+02  1.27340490e-01
 -1.23484126e-01  0.00000000e+00]","[-3.54943931e+03 -2.26826857e+02  1.61000491e+02  1.75839269e-01
 -1.13115875e-01  4.34454574e-02]",743.6581265303485,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00028.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00028_kp.png,False
"[-2.82245854e+03 -7.99573760e+01  1.06633981e+02  1.27340490e-01
 -1.23484126e-01  0.00000000e+00]","[-3.54943931e+03 -2.26826857e+02  1.61000491e+02  1.75839269e-01
 -1.13115875e-01  4.34454574e-02]",743.6581265303485,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00029.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00029_kp.png,False
"[-2.85694437e+03  8.83196695e+01  1.15115722e+02 -1.15726712e-01
 -4.40757862e-02  0.00000000e+00]","[-2.82026952e+03  8.20427375e+01  1.11655003e+02 -1.13109201e-01
 -4.44977533e-02  7.31282206e-04]",37.368718090028906,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00030.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00030_kp.png,False
"[-2.85694437e+03  8.83196695e+01  1.15115722e+02 -1.15726712e-01
 -4.40757862e-02  0.00000000e+00]","[-2.82026952e+03  8.20427375e+01  1.11655003e+02 -1.13109201e-01
 -4.44977533e-02  7.31282206e-04]",37.368718090028906,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00031.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00031_kp.png,False
"[-2.96641592e+03 -2.81106029e+00  1.13387114e+02  3.90227853e-02
 -3.03760025e-02  0.00000000e+00]","[-2.94490878e+03 -2.17284819e+00  1.11795217e+02  3.92897218e-02
 -3.01875079e-02 -7.55215153e-03]",21.575407813803082,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00032.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00032_kp.png,False
"[-2.96641592e+03 -2.81106029e+00  1.13387114e+02  3.90227853e-02
 -3.03760025e-02  0.00000000e+00]","[-2.94490878e+03 -2.17284819e+00  1.11795217e+02  3.92897218e-02
 -3.01875079e-02 -7.55215153e-03]",21.575407813803082,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00033.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00033_kp.png,False
"[-2.55178942e+03 -5.39245392e+01  9.50583712e+01 -1.00840535e-01
 -1.03212581e-01  0.00000000e+00]","[-2.56451144e+03 -4.36914391e+01  7.45996760e+01 -1.08090724e-01
 -1.19852185e-01 -3.82075057e-03]",26.17487744034053,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00034.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00034_kp.png,False
"[-2.55178942e+03 -5.39245392e+01  9.50583712e+01 -1.00840535e-01
 -1.03212581e-01  0.00000000e+00]","[-2.56451144e+03 -4.36914391e+01  7.45996760e+01 -1.08090724e-01
 -1.19852185e-01 -3.82075057e-03]",26.17487744034053,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00035.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00035_kp.png,False
"[-2.90273681e+03  1.86781129e+01  1.04262494e+02 -6.67132302e-02
  2.22023439e-02  0.00000000e+00]","[-2.86734278e+03  1.47227508e+01  9.66723184e+01 -6.50832469e-02
  1.99203597e-02  1.91599942e-02]",36.41418983073523,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00036.png,/home/younger/work/nerfstudio/gazebo_nerf_exp/data_pc_outliers/frame_00036_kp.png,False
